"%s was added to your shopping cart.","%s is aan uw mandje toegevoegd."
"%s was updated in your shopping cart.","%s is bijgewerkt in uw winkelmandje."
"* Required Fields","* Vereiste Velden"
"Add New Address","Adres Toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add coupon code for shopping cart","Vouchercode voor winkelmandje toevoegen"
"Add gift messages to shopping cart","Cadeauboodschappen aan winkelmandje toevoegen"
"Add product to shopping cart","Produkt aan winkelmandje toevoegen"
"Add product(s) to shopping cart","Produkt(en) aan winkelmandje toevoegen"
"Add to Cart","In winkelmand"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Aan wenslijst toevoegen"
"Additional Product Info","Verdere produktinformatie"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After Adding a Product Redirect to Shopping Cart","Ga na het toevoegen van een produkt naar het mandje"
"Allow Guest Checkout","Gasten toestaan om uit te checken"
"Already registered?","Bent u al geregistreerd?"
"An error occurred in the process of payment","Er heeft zich een fout voorgedaan in het betalingsproces"
"An error occurred while deleting this condition.","Er heeft zich een fout voorgedaan bij het verwijderen van deze voorwaarde"
"An error occurred while saving this condition.","Er heeft zich een fout voorgedaan bij het opslaan van deze voorwaarde."
"Apply","Toepassen"
"Apply Coupon","Coupon gebruiken"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Weet u zeker dat u deze pagina wilt verlaten? U zal opnieuw de stappen voor het afrekenen moeten doorlopen."
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit uw mandje wilt verwijderen?"
"Back","Terug"
"Back to Billing Information","Terug naar de betalingsinformatie"
"Back to Select Addresses","Terug naar de adresselectie"
"Back to Shipping Information","Terug naar de verzendingsinformatie"
"Back to Shopping Cart","Terug naar het mandje"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw keuze, bent u misschien geïnteresseerd in de volgende items:"
"Billing Address","Factuuradres"
"Billing Information","Factuur gegevens"
"Billing Information - %s","Betalingsinformatie - %s"
"Can not remove the item.","Kan produkt niet verwijderen."
"Can not save item.","Kan produkt niet opslaan."
"Cancel","Annuleren"
"Cancel Coupon","Coupon annuleren"
"Cannot add item to the shopping cart.","Het item kan niet aan het mandje toegevoegd worden."
"Cannot add the item to shopping cart","Het item kan niet aan het mandje toegevoegd worden."
"Cannot add the item to shopping cart.","Het item kan niet aan het mandje toegevoegd worden."
"Cannot apply the coupon code.","De couponcode kan niet gebruikt worden."
"Cannot configure product.","Kan produkt niet configureren."
"Cannot open the overview page","De overzichtspagina kan niet geopend worden"
"Cannot process the item.","Kan artikel niet verwerken."
"Cannot remove the item.","Het item kan niet verwijderd worden."
"Cannot update shopping cart.","Het mandje kan niet geupdate worden"
"Cannot update the item.","Kan artikel niet bijwerken."
"Card Verification Number Visual Reference","Visuele referentie kaartverificatienummer"
"Cart","winkelmand"
"Cart Product API","Mandje produkt API"
"Cart Subtotal:","Subtotaal mandje:"
"Change","Wijzigen"
"Change Billing Address","Verander Factuuradres"
"Checkbox Text","Tekst checkbox"
"Checkout","Betalen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Forms Extra","Afrekenen Extra Formulieren"
"Checkout Method","Klant Identificatie"
"Checkout Options","Betalingsopties"
"Checkout Progress Wrapper","Afrekening voortgang wrapper"
"Checkout Section","Betalingsdeel"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"Checkout as Guest","Als een gast doorgaan"
"Checkout as a Guest or Register","Kopen als een gast of registreren"
"Checkout with Multiple Addresses","Met meerdere adressen uitchecken"
"Check items to add to the cart","Selecteer produkt om toe te voegen aan je winkelmand"
"City","Stad"
